Account_ID,Account_Name,Account_Type,Industry,Billing_Street,Billing_City,Billing_State,Billing_Postal_Code,Billing_Country,Phone,Website,Annual_Revenue,Employee_Count,Description,Rating,Customer_Since,Last_Activity_Date,Account_Owner,Lead_Source,Status,Database_Requirements,Current_Database,Deployment_Type,Expected_Contract_Value,Sales_Stage,Next_Steps,Notes
001A0000001aBcD,Veridian,Enterprise,Technology,1234 Innovation Drive,San Francisco,CA,94105,USA,+1-415-555-0101,www.veridian.com,50000000,1200,Leading cloud infrastructure provider seeking distributed database solution for global operations,Hot,2024-01-15,2024-12-15,John Smith,Partner Referral,Qualified,High Availability,Oracle,Hybrid Cloud,500000,Proposal,Technical deep dive scheduled,"12/15/2024 - Technical deep dive scheduled for next week. CTO confirmed attendance. 12/12/2024 - Follow-up call with VP Engineering. They're experiencing Oracle licensing costs and performance issues with global deployments. 12/08/2024 - Sent ROI analysis and case studies. Customer very interested in multi-region capabilities. 12/05/2024 - Initial discovery call completed. Current Oracle setup struggling with 50+ regions. 12/01/2024 - Introduced by AWS partner. Customer looking for distributed database solution. 11/28/2024 - First contact via partner referral. CTO expressed interest in Yugabyte's architecture."
001A0000002eFgH,Sterling Group,Enterprise,Financial Services,5678 Wall Street,New York,NY,10005,USA,+1-212-555-0202,www.sterlinggroup.com,75000000,2500,Investment banking firm requiring low-latency database for trading systems,Cold,2024-02-20,2024-12-10,Sarah Johnson,Direct,Qualified,Low Latency,SQL Server,On-Premise,750000,Discovery,ROI analysis in progress,"12/10/2024 - ROI analysis in progress. Compliance team reviewing regulatory requirements. 12/07/2024 - Follow-up call with Head of IT. Concerns about migration complexity from SQL Server. 12/03/2024 - Initial meeting with CTO. Current trading system latency issues causing missed opportunities. 11/30/2024 - Cold outreach via LinkedIn. CTO responded to low-latency database inquiry. 11/25/2024 - Research shows they're expanding trading operations to Asia. 11/20/2024 - First contact attempt - no response. Will follow up with compliance angle."
001A0000003iJkL,Aegis,Enterprise,Healthcare,9012 Medical Center Blvd,Boston,MA,02115,USA,+1-617-555-0303,www.aegis-health.com,30000000,800,Healthcare provider needing HIPAA-compliant distributed database,Warm,2024-03-10,2024-12-12,Michael Chen,Website,Qualified,Compliance,PostgreSQL,Cloud,400000,Qualification,Security review scheduled,"12/12/2024 - Security review scheduled for next week. HIPAA compliance team will attend. 12/09/2024 - Follow-up call with CIO. Current PostgreSQL setup not meeting audit requirements. 12/05/2024 - Sent HIPAA compliance documentation and security whitepapers. 12/02/2024 - Initial discovery call. Managing 500K+ patient records across 15 locations. 11/29/2024 - Website inquiry about HIPAA-compliant database solutions. 11/25/2024 - Research shows recent HIPAA audit findings. 11/20/2024 - First contact via website form. CIO interested in distributed database for patient data."
001A0000004mNoP,Keystone,Enterprise,Manufacturing,3456 Industrial Way,Chicago,IL,60601,USA,+1-312-555-0404,www.keystone-mfg.com,45000000,1800,Manufacturing company seeking IoT data management solution,Hot,2024-01-25,2024-12-14,Lisa Rodriguez,Trade Show,Qualified,Scalability,MySQL,Hybrid Cloud,600000,Proposal,Technical evaluation in progress,"12/14/2024 - Technical evaluation in progress. IoT team testing with 10K+ sensor data points. 12/11/2024 - Follow-up call with VP Operations. Current MySQL setup can't handle IoT data volume. 12/08/2024 - Sent IoT case studies and performance benchmarks. Customer impressed with scalability. 12/05/2024 - Initial discovery call. Managing 50+ manufacturing facilities with IoT sensors. 12/01/2024 - Met at Manufacturing Tech Expo. VP Operations interested in IoT data management. 11/28/2024 - Research shows they're implementing Industry 4.0 initiatives. 11/25/2024 - First contact at trade show. IoT data management is top priority."
001A0000005qRsT,Corbin,Enterprise,Retail,7890 Commerce Street,Atlanta,GA,30301,USA,+1-404-555-0505,www.corbin-retail.com,25000000,950,Retail chain requiring real-time inventory management database,Warm,2024-04-05,2024-12-11,David Wilson,Referral,Qualified,Real-time Analytics,MongoDB,Cloud,350000,Discovery,Business case development,"12/11/2024 - Business case development in progress. CFO reviewing ROI projections. 12/08/2024 - Follow-up call with Head of IT. Current MongoDB setup causing inventory sync delays. 12/05/2024 - Sent retail case studies and inventory management benchmarks. 12/02/2024 - Initial discovery call. Managing 200+ retail locations with real-time inventory needs. 11/29/2024 - Referred by existing customer. CTO interested in distributed database solution. 11/25/2024 - Research shows they're expanding to 50+ new locations. 11/20/2024 - First contact via referral. Inventory management is critical pain point."
001A0000006uVwX,Stratton,Enterprise,Energy,2345 Energy Plaza,Houston,TX,77002,USA,+1-713-555-0606,www.stratton-energy.com,60000000,2200,Energy company needing distributed database for grid management,Hot,2024-02-15,2024-12-13,Jennifer Lee,Direct,Qualified,High Availability,Oracle,On-Premise,800000,Proposal,Executive presentation scheduled,"12/13/2024 - Executive presentation scheduled for next week. CEO and CTO confirmed attendance. 12/10/2024 - Follow-up call with VP Operations. Current Oracle setup causing grid management issues. 12/07/2024 - Sent energy sector case studies and reliability benchmarks. 12/04/2024 - Initial discovery call. Managing critical infrastructure across 25 states. 12/01/2024 - Direct outreach to CTO. Grid management system needs high availability. 11/28/2024 - Research shows recent power grid failures. 11/25/2024 - First contact via direct outreach. Critical infrastructure requirements identified."
001A0000007yZaB,Ironwood,Enterprise,Telecommunications,4567 Telecom Drive,Dallas,TX,75201,USA,+1-214-555-0707,www.ironwood-telco.com,80000000,3000,Telecom provider seeking carrier-grade database solution,Cold,2024-03-20,2024-12-09,Robert Brown,Partner Referral,Qualified,Carrier Grade,SQL Server,Hybrid Cloud,1000000,Qualification,Technical requirements gathering,"12/09/2024 - Technical requirements gathering in progress. Network team reviewing 99.999% uptime requirements. 12/06/2024 - Follow-up call with VP Engineering. Current SQL Server setup causing service outages. 12/03/2024 - Sent telecom case studies and carrier-grade benchmarks. 11/30/2024 - Initial discovery call. Managing 5G network infrastructure across 40 states. 11/27/2024 - Introduced by Cisco partner. CTO interested in carrier-grade database solution. 11/24/2024 - Research shows recent network reliability issues. 11/20/2024 - First contact via partner referral. 99.999% uptime requirement identified."
001A0000008cDeF,Vantage,Enterprise,Logistics,6789 Logistics Lane,Seattle,WA,98101,USA,+1-206-555-0808,www.vantage-logistics.com,35000000,1200,Logistics company requiring global supply chain database,Warm,2024-04-10,2024-12-08,Amanda Garcia,Website,Qualified,Global Distribution,PostgreSQL,Cloud,450000,Discovery,Architecture review planned,"12/08/2024 - Architecture review planned for next week. Global operations team will attend. 12/05/2024 - Follow-up call with VP Operations. Current PostgreSQL setup causing supply chain delays. 12/02/2024 - Sent logistics case studies and global distribution benchmarks. 11/29/2024 - Initial discovery call. Managing supply chain across 6 continents. 11/26/2024 - Website inquiry about global database solutions. 11/23/2024 - Research shows they're expanding to Asia and Europe. 11/20/2024 - First contact via website form. Multi-continent deployment needed."
001A0000009gHiJ,Reliance,Enterprise,Insurance,0123 Insurance Plaza,Philadelphia,PA,19102,USA,+1-215-555-0909,www.reliance-insurance.com,40000000,1500,Insurance company needing claims processing database,Hot,2024-01-30,2024-12-15,Thomas Anderson,Direct,Qualified,Claims Processing,Oracle,On-Premise,550000,Proposal,Compliance review scheduled,"12/15/2024 - Compliance review scheduled for next week. Regulatory team will attend. 12/12/2024 - Follow-up call with VP Claims. Current Oracle setup causing processing delays. 12/09/2024 - Sent insurance case studies and compliance benchmarks. 12/06/2024 - Initial discovery call. Processing 100K+ claims daily across 30 states. 12/03/2024 - Direct outreach to CTO. Claims processing system needs high performance. 11/30/2024 - Research shows recent regulatory compliance issues. 11/27/2024 - First contact via direct outreach. Regulatory compliance essential."
001A0000010kLmN,Northgate,Enterprise,Real Estate,3456 Real Estate Ave,Denver,CO,80202,USA,+1-303-555-1010,www.northgate-re.com,20000000,600,Real estate firm seeking property management database,Warm,2024-05-15,2024-12-07,Emily Davis,Referral,Qualified,Property Management,MySQL,Cloud,300000,Qualification,Business requirements analysis,"12/07/2024 - Business requirements analysis in progress. Property management team reviewing needs. 12/04/2024 - Follow-up call with VP Operations. Current MySQL setup causing property data sync issues. 12/01/2024 - Sent real estate case studies and property management benchmarks. 11/28/2024 - Initial discovery call. Managing 500+ properties across 15 states. 11/25/2024 - Referred by existing customer. CTO interested in property management solution. 11/22/2024 - Research shows they're expanding property portfolio. 11/20/2024 - First contact via referral. Property portfolio management focus."
